movie_title,director_name,num_critic_for_reviews,duration,Actor_1,Actor_2,genre1,genre2,gross,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,num_voted_users,Profit
HellboyÂ ,Guillermo del Toro,242,132,Rupert Evans,James Babson,Action,Fantasy,"$59,035,104.00 ",597,English,USA,PG-13,"$66,000,000.00 ",2004,6.8,244566,"-$6,964,896.00"
A Civil ActionÂ ,Steven Zaillian,110,115,Kathleen Quinlan,Robert Duvall,Drama,NA,"$56,702,901.00 ",181,English,USA,PG-13,"$60,000,000.00 ",1998,6.5,23302,"-$3,297,099.00"
ParaNormanÂ ,Chris Butler,328,92,Kodi Smit-McPhee,Anna Kendrick,Adventure,Animation,"$55,994,557.00 ",176,English,USA,PG,"$60,000,000.00 ",2012,7,72287,"-$4,005,443.00"
The JackalÂ ,Michael Caton-Jones,83,124,Bruce Willis,J.K. Simmons,Action,Adventure,"$54,910,560.00 ",227,English,USA,R,"$60,000,000.00 ",1997,6.3,88225,"-$5,089,440.00"
PaycheckÂ ,John Woo,196,119,Joe Morton,Ivana Milicevic,Action,Mystery,"$53,789,313.00 ",347,English,USA,PG-13,"$60,000,000.00 ",2003,6.3,89816,"-$6,210,687.00"
Up Close & PersonalÂ ,Jon Avnet,34,124,Stockard Channing,Joe Mantegna,Drama,Romance,"$51,045,801.00 ",54,English,USA,PG-13,"$60,000,000.00 ",1996,6.1,11370,"-$8,954,199.00"
The Tale of DespereauxÂ ,Sam Fell,118,93,Matthew Broderick,Emma Watson,Adventure,Animation,"$50,818,750.00 ",106,English,UK,G,"$60,000,000.00 ",2008,6.1,31209,"-$9,181,250.00"
Rules of EngagementÂ             ,Unknown,8,22,Oliver Hudson,Bianca Kajlich,Comedy,Romance,"$25,517,500.00 ",41,English,USA,TV-PG,"$20,000,000.00 ",2005,7.3,26404,"$5,517,500.00"
The TuxedoÂ ,Kevin Donovan,81,98,Debi Mazar,Romany Malco,Action,Comedy,"$50,189,179.00 ",207,English,USA,PG-13,"$60,000,000.00 ",2002,5.3,61966,"-$9,810,821.00"
Under Siege 2: Dark TerritoryÂ ,Geoff Murphy,47,92,Brenda Bakke,Peter Greene,Action,Thriller,"$50,024,083.00 ",126,English,USA,R,"$60,000,000.00 ",1995,5.4,35918,"-$9,975,917.00"
Jack Ryan: Shadow RecruitÂ ,Kenneth Branagh,313,105,Nonso Anozie,Colm Feore,Action,Drama,"$50,549,107.00 ",289,English,USA,PG-13,"$60,000,000.00 ",2014,6.2,99035,"-$9,450,893.00"
JoyÂ ,David O. Russell,315,124,Robert De Niro,Jennifer Lawrence,Biography,Comedy,"$56,443,482.00 ",256,English,USA,PG-13,"$60,000,000.00 ",2015,6.6,75329,"-$3,556,518.00"
London Has FallenÂ ,Babak Najafi,225,99,Radha Mitchell,Gerard Butler,Action,Crime,"$62,401,264.00 ",323,English,UK,R,"$60,000,000.00 ",2016,5.9,69484,"$2,401,264.00"
Alien: ResurrectionÂ ,Jean-Pierre Jeunet,223,116,Michael Wincott,Gary Dourdan,Action,Horror,"$47,748,610.00 ",656,English,USA,R,"$75,000,000.00 ",1997,6.3,170179,"-$27,251,390.00"
ShooterÂ ,Antoine Fuqua,198,124,Ned Beatty,Tate Donovan,Action,Crime,"$46,975,183.00 ",338,English,USA,R,"$61,000,000.00 ",2007,7.2,256213,"-$14,024,817.00"
The BoxtrollsÂ ,Graham Annable,219,96,Dee Bradley Baker,Isaac Hempstead Wright,Adventure,Animation,"$50,807,639.00 ",122,English,USA,PG,"$60,000,000.00 ",2014,6.8,40883,"-$9,192,361.00"
Practical MagicÂ ,Griffin Dunne,92,104,Dianne Wiest,Goran Visnjic,Comedy,Drama,"$46,611,204.00 ",257,English,USA,PG-13,"$48,000,000.00 ",1998,6.1,55749,"-$1,388,796.00"
The Lego MovieÂ ,Phil Lord,435,100,Will Ferrell,Morgan Freeman,Action,Adventure,"$257,756,197.00 ",471,English,Australia,PG,"$60,000,000.00 ",2014,7.8,246698,"$197,756,197.00"
Miss Congeniality 2: Armed and FabulousÂ ,John Pasquin,111,115,Diedrich Bader,Eileen Brennan,Action,Comedy,"$48,472,213.00 ",156,English,USA,PG-13,"$45,000,000.00 ",2005,5,51252,"$3,472,213.00"
Reign of FireÂ ,Rob Bowman,138,101,Gerard Butler,Christian Bale,Action,Adventure,"$43,060,566.00 ",569,English,USA,PG-13,"$60,000,000.00 ",2002,6.2,107859,"-$16,939,434.00"
Gangster SquadÂ ,Ruben Fleischer,415,113,Brandon Molale,Ryan Gosling,Action,Crime,"$45,996,718.00 ",264,English,USA,R,"$60,000,000.00 ",2013,6.7,173530,"-$14,003,282.00"
Year OneÂ ,Harold Ramis,170,100,Oliver Platt,Olivia Wilde,Adventure,Comedy,"$43,337,279.00 ",203,English,USA,PG-13,"$60,000,000.00 ",2009,4.9,76770,"-$16,662,721.00"
InvictusÂ ,Clint Eastwood,306,134,Morgan Freeman,Matt Damon,Biography,Drama,"$37,479,778.00 ",259,English,USA,PG-13,"$60,000,000.00 ",2009,7.4,124222,"-$22,520,222.00"
State of PlayÂ ,Kevin Macdonald,252,127,Harry Lennix,Robin Wright,Crime,Drama,"$36,965,395.00 ",235,English,USA,PG-13,"$20,000,000.00 ",2009,7.1,113295,"$16,965,395.00"
DuplicityÂ ,Tony Gilroy,211,125,Tom Wilkinson,Julia Roberts,Comedy,Crime,"$40,559,930.00 ",184,English,USA,PG-13,"$60,000,000.00 ",2009,6.2,41727,"-$19,440,070.00"
My Favorite MartianÂ ,Donald Petrie,49,94,Ray Walston,Steven Anthony Lawrence,Comedy,Family,"$36,830,057.00 ",73,English,USA,PG,"$65,000,000.00 ",1999,4.9,10883,"-$28,169,943.00"
The SentinelÂ ,Clark Johnson,161,107,David Rasche,Blair Brown,Action,Crime,"$36,279,230.00 ",213,English,USA,PG-13,"$60,000,000.00 ",2006,6.1,42144,"-$23,720,770.00"
Planet 51Â ,Jorge Blanco,156,91,Gary Oldman,Dwayne Johnson,Adventure,Animation,"$42,194,060.00 ",72,English,Spain,PG,"$70,000,000.00 ",2009,6.1,41259,"-$27,805,940.00"
Star Trek: NemesisÂ ,Stuart Baird,172,116,LeVar Burton,Tom Hardy,Action,Adventure,"$43,119,879.00 ",842,English,USA,PG-13,"$60,000,000.00 ",2002,6.4,58450,"-$16,880,121.00"
Intolerable CrueltyÂ ,Joel Coen,161,100,Paul Adelstein,Cedric the Entertainer,Comedy,Crime,"$35,096,190.00 ",322,English,USA,PG-13,"$60,000,000.00 ",2003,6.3,76560,"-$24,903,810.00"
Trouble with the CurveÂ ,Robert Lorenz,239,111,Ed Lauter,Clint Eastwood,Drama,Sport,"$35,754,555.00 ",150,English,USA,PG-13,"$20,000,000.00 ",2012,6.8,47954,"$15,754,555.00"
Edge of DarknessÂ ,Martin Campbell,258,117,Ray Winstone,Bojana Novakovic,Crime,Drama,"$43,290,977.00 ",256,English,UK,R,"$80,000,000.00 ",2010,6.6,75201,"-$36,709,023.00"
The RelicÂ ,Peter Hyams,95,110,Penelope Ann Miller,John Kapelos,Horror,Mystery,"$33,927,476.00 ",165,English,UK,R,"$40,000,000.00 ",1997,5.7,19176,"-$6,072,524.00"
Analyze ThatÂ ,Harold Ramis,105,96,Cathy Moriarty,Robert De Niro,Comedy,Crime,"$32,122,249.00 ",138,English,USA,R,"$60,000,000.00 ",2002,5.9,69319,"-$27,877,751.00"
Righteous KillÂ ,Jon Avnet,198,101,Al Pacino,Robert De Niro,Action,Crime,"$40,076,438.00 ",248,English,USA,R,"$60,000,000.00 ",2008,6,73368,"-$19,923,562.00"
Mercury RisingÂ ,Harold Becker,79,111,Miko Hughes,Bruce Willis,Action,Crime,"$32,940,507.00 ",127,English,USA,R,"$60,000,000.00 ",1998,6.1,54314,"-$27,059,493.00"
The SoloistÂ ,Joe Wright,210,117,Stephen Root,Robert Downey Jr.,Biography,Drama,"$31,670,931.00 ",143,English,UK,PG-13,"$60,000,000.00 ",2009,6.7,44099,"-$28,329,069.00"
The Legend of Bagger VanceÂ ,Robert Redford,125,126,Will Smith,Matt Damon,Drama,Fantasy,"$30,695,227.00 ",267,English,USA,PG-13,"$60,000,000.00 ",2000,6.7,45296,"-$29,304,773.00"
Almost FamousÂ ,Cameron Crowe,149,152,Zooey Deschanel,Philip Seymour Hoffman,Adventure,Comedy,"$32,522,352.00 ",822,English,USA,R,"$60,000,000.00 ",2000,7.9,207287,"-$27,477,648.00"
Garfield 2Â ,Tim Hill,77,86,Roger Rees,Bill Murray,Animation,Comedy,"$28,424,210.00 ",74,English,UK,PG,"$20,000,000.00 ",2006,5,27517,"$8,424,210.00"
xXx: State of the UnionÂ ,Lee Tamahori,77,101,Nona Gaye,Sunny Mabrey,Action,Adventure,"$26,082,914.00 ",213,English,USA,PG-13,"$87,000,000.00 ",2005,4.3,51349,"-$60,917,086.00"
PriestÂ ,Scott Stewart,225,87,Alan Dale,Josh Wingate,Action,Fantasy,"$29,136,626.00 ",233,English,USA,PG-13,"$60,000,000.00 ",2011,5.7,97089,"-$30,863,374.00"
Sinbad: Legend of the Seven SeasÂ ,Patrick Gilmore,98,85,Adriano Giannini,Brad Pitt,Adventure,Animation,"$26,288,320.00 ",91,English,USA,PG,"$60,000,000.00 ",2003,6.7,36144,"-$33,711,680.00"
Event HorizonÂ ,Paul W.S. Anderson,172,130,Joely Richardson,Sean Pertwee,Horror,Sci-Fi,"$26,616,590.00 ",857,English,UK,R,"$60,000,000.00 ",1997,6.7,120416,"-$33,383,410.00"
DragonflyÂ ,Tom Shadyac,117,104,Susanna Thompson,Joe Morton,Drama,Fantasy,"$30,063,805.00 ",243,English,USA,PG-13,"$60,000,000.00 ",2002,6.1,31788,"-$29,936,195.00"
The Black DahliaÂ ,Brian De Palma,240,121,Mia Kirshner,Scarlett Johansson,Crime,Drama,"$22,518,325.00 ",644,English,Germany,R,"$50,000,000.00 ",2006,5.6,63363,"-$27,481,675.00"
FlyboysÂ ,Tony Bill,123,140,Tyler Labine,James Franco,Action,Adventure,"$13,082,288.00 ",247,English,UK,PG-13,"$60,000,000.00 ",2006,6.6,35565,"-$46,917,712.00"
The Last CastleÂ ,Rod Lurie,110,131,Delroy Lindo,Clifton Collins Jr.,Action,Drama,"$18,208,078.00 ",281,English,USA,R,"$60,000,000.00 ",2001,6.9,57100,"-$41,791,922.00"
SupernovaÂ ,Walter Hill,100,91,Wilson Cruz,Robert Forster,Horror,Sci-Fi,"$14,218,868.00 ",282,English,USA,PG-13,"$65,000,000.00 ",2000,4.8,14596,"-$50,781,132.00"
Winter's TaleÂ ,Akiva Goldsman,189,118,William Hurt,Matt Bomer,Drama,Fantasy,"$22,451.00 ",126,English,USA,PG-13,"$60,000,000.00 ",2014,6.2,41288,"-$59,977,549.00"
The Mortal Instruments: City of BonesÂ ,Harald Zwart,212,130,Kevin Zegers,Aidan Turner,Fantasy,Horror,"$31,165,421.00 ",457,English,USA,PG-13,"$60,000,000.00 ",2013,6,107028,"-$28,834,579.00"
Meet DaveÂ ,Brian Robbins,127,90,Mike O'Malley,Marc Blucas,Adventure,Comedy,"$11,802,056.00 ",109,English,USA,PG,"$60,000,000.00 ",2008,4.9,31640,"-$48,197,944.00"
Dark WaterÂ ,Walter Salles,196,103,Camryn Manheim,Dougray Scott,Drama,Horror,"$25,472,967.00 ",411,English,USA,PG-13,"$30,000,000.00 ",2005,5.6,44966,"-$4,527,033.00"
EdtvÂ ,Ron Howard,115,122,Adam Goldberg,Matthew McConaughey,Comedy,Drama,"$22,362,500.00 ",195,English,USA,PG-13,"$55,000,000.00 ",1999,6.1,35599,"-$32,637,500.00"
InkheartÂ ,Iain Softley,161,106,Stephen Graham,Brendan Fraser,Adventure,Family,"$17,281,832.00 ",110,English,Germany,PG,"$60,000,000.00 ",2008,6.1,60232,"-$42,718,168.00"
The SpiritÂ ,Frank Miller,223,103,Jaime King,Scarlett Johansson,Action,Crime,"$19,781,879.00 ",290,English,USA,PG-13,"$60,000,000.00 ",2008,4.8,53864,"-$40,218,121.00"
MortdecaiÂ ,David Koepp,181,107,Olivia Munn,Johnny Depp,Action,Comedy,"$7,605,668.00 ",188,English,UK,R,"$60,000,000.00 ",2015,5.5,47320,"-$52,394,332.00"
In the Name of the King: A Dungeon Siege TaleÂ ,Uwe Boll,140,156,Mike Dopud,Jason Statham,Action,Adventure,"$4,535,117.00 ",368,English,Germany,PG-13,"$60,000,000.00 ",2007,3.8,38398,"-$55,464,883.00"
Beyond BordersÂ ,Martin Campbell,54,127,Teri Polo,Angelina Jolie Pitt,Adventure,Drama,"$4,426,297.00 ",156,English,USA,R,"$35,000,000.00 ",2003,6.5,22570,"-$30,573,703.00"
Xi you ji zhi: Sun Wukong san da Baigu JingÂ ,Pou-Soi Cheang,14,119,Aaron Kwok,Li Gong,Action,Adventure,"$25,517,500.00 ",9,English,China,Unknown,"$68,005,000.00 ",2016,6,1212,"-$42,487,500.00"
The Great RaidÂ ,John Dahl,81,132,Clayne Crawford,James Franco,Action,Drama,"$10,166,502.00 ",183,Filipino,USA,R,"$80,000,000.00 ",2005,6.7,18209,"-$69,833,498.00"
DeadpoolÂ ,Tim Miller,579,108,Ed Skrein,Ryan Reynolds,Action,Adventure,"$363,024,263.00 ",1058,English,USA,R,"$58,000,000.00 ",2016,8.1,479047,"$305,024,263.00"
Holy ManÂ ,Stephen Herek,56,114,Morgan Fairchild,Kelly Preston,Comedy,Drama,"$12,065,985.00 ",88,English,USA,PG,"$60,000,000.00 ",1998,4.9,16260,"-$47,934,015.00"
American SniperÂ ,Clint Eastwood,490,133,Leonard Roberts,Bradley Cooper,Action,Biography,"$350,123,553.00 ",916,English,USA,R,"$58,800,000.00 ",2014,7.3,325264,"$291,323,553.00"
GoosebumpsÂ ,Rob Letterman,218,103,Dylan Minnette,Odeya Rush,Adventure,Comedy,"$80,021,740.00 ",154,English,USA,PG,"$58,000,000.00 ",2015,6.4,47968,"$22,021,740.00"
"Sabrina, the Teenage WitchÂ             ",Unknown,20,22,Soleil Moon Frye,Nate Richert,Comedy,Family,"$25,517,500.00 ",94,English,USA,TV-G,"$3,000,000.00 ",2005,6.6,24420,"$22,517,500.00"
Just Like HeavenÂ ,Mark Waters,142,95,Ivana Milicevic,Jon Heder,Comedy,Fantasy,"$48,291,624.00 ",263,English,USA,PG-13,"$58,000,000.00 ",2005,6.7,82819,"-$9,708,376.00"
The Flintstones in Viva Rock VegasÂ ,Brian Levant,57,90,Mark Addy,Taylor Negron,Comedy,Family,"$35,231,365.00 ",85,English,USA,PG,"$60,000,000.00 ",2000,3.6,15517,"-$24,768,635.00"
Rambo IIIÂ ,Peter MacDonald,84,87,Kurtwood Smith,Sylvester Stallone,Action,Adventure,"$53,715,611.00 ",171,English,USA,R,"$63,000,000.00 ",1988,5.7,92106,"-$9,284,389.00"
LeatherheadsÂ ,George Clooney,186,114,Malcolm Goodwin,Robert Baker,Comedy,Drama,"$31,199,215.00 ",120,English,USA,PG-13,"$58,000,000.00 ",2008,6,27664,"-$26,800,785.00"
The Ridiculous 6Â ,Frank Coraci,53,119,Adam Sandler,Taylor Lautner,Comedy,Western,"$25,517,500.00 ",143,English,USA,TV-14,"$20,000,000.00 ",2015,4.9,27019,"$5,517,500.00"
Did You Hear About the Morgans?Â ,Marc Lawrence,133,103,Kim Shaw,Michael Kelly,Comedy,Drama,"$29,580,087.00 ",121,English,USA,PG-13,"$58,000,000.00 ",2009,4.7,29523,"-$28,419,913.00"
The InternshipÂ ,Shawn Levy,246,125,Jessica Szohr,Josh Gad,Comedy,NA,"$44,665,963.00 ",281,English,USA,PG-13,"$58,000,000.00 ",2013,6.3,159931,"-$13,334,037.00"
Resident Evil: AfterlifeÂ ,Paul W.S. Anderson,253,97,Boris Kodjoe,Milla Jovovich,Action,Adventure,"$60,128,566.00 ",410,English,Germany,R,"$60,000,000.00 ",2010,5.9,131447,"$128,566.00"
Red TailsÂ ,Anthony Hemingway,144,125,Nate Parker,David Oyelowo,Action,Adventure,"$49,875,589.00 ",273,English,USA,PG-13,"$58,000,000.00 ",2012,5.9,28807,"-$8,124,411.00"
Sex and the CityÂ             ,Unknown,46,30,Kristin Davis,Chris Noth,Comedy,Romance,"$25,517,500.00 ",238,English,USA,TV-MA,"$20,000,000.00 ",2005,7,80025,"$5,517,500.00"
The Devil's AdvocateÂ ,Taylor Hackford,117,136,Al Pacino,Keanu Reeves,Drama,Mystery,"$60,984,028.00 ",431,English,USA,R,"$57,000,000.00 ",1997,7.5,259519,"$3,984,028.00"
That's My BoyÂ ,Sean Anders,157,116,Leighton Meester,Adam Sandler,Comedy,NA,"$36,931,089.00 ",198,English,USA,R,"$70,000,000.00 ",2012,5.6,70681,"-$33,068,911.00"
DragonHeartÂ ,Rob Cohen,60,103,Brian Thompson,Dennis Quaid,Action,Adventure,"$51,317,350.00 ",139,English,USA,PG-13,"$57,000,000.00 ",1996,6.4,78343,"-$5,682,650.00"
After the SunsetÂ ,Brett Ratner,117,97,Don Cheadle,Salma Hayek,Action,Comedy,"$28,328,132.00 ",147,English,USA,PG-13,"$58,000,000.00 ",2004,6.3,38298,"-$29,671,868.00"
Ghost Rider: Spirit of VengeanceÂ ,Mark Neveldine,287,96,Spencer Wilding,Nicolas Cage,Action,Fantasy,"$51,774,002.00 ",331,English,USA,PG-13,"$57,000,000.00 ",2011,4.3,87745,"-$5,225,998.00"
Captain Corelli's MandolinÂ ,John Madden,96,131,Irene Papas,Christian Bale,Drama,Music,"$25,528,495.00 ",220,English,UK,R,"$57,000,000.00 ",2001,5.9,28099,"-$31,471,505.00"
Anger ManagementÂ             ,Unknown,26,22,Noureen DeWulf,Barry Corbin,Comedy,Romance,"$25,517,500.00 ",54,English,USA,Unknown,"$20,000,000.00 ",2005,6.7,26992,"$5,517,500.00"
The PacifierÂ ,Adam Shankman,125,95,Brad Garrett,Vin Diesel,Action,Comedy,"$113,006,880.00 ",225,English,Canada,PG,"$56,000,000.00 ",2005,5.5,66308,"$57,006,880.00"
Walking TallÂ ,Kevin Bray,117,86,Ashley Scott,Dwayne Johnson,Action,Crime,"$45,860,039.00 ",221,English,USA,PG-13,"$56,000,000.00 ",2004,6.2,53118,"-$10,139,961.00"
Forrest GumpÂ ,Robert Zemeckis,149,142,Siobhan Fallon Hogan,Tom Hanks,Comedy,Drama,"$329,691,196.00 ",1398,English,USA,PG-13,"$55,000,000.00 ",1994,8.8,1251222,"$274,691,196.00"
Alvin and the ChipmunksÂ ,Tim Hill,131,92,Beth Riesgraf,Jesse McCartney,Animation,Comedy,"$217,326,336.00 ",146,English,USA,PG,"$60,000,000.00 ",2007,5.2,57276,"$157,326,336.00"
Meet the ParentsÂ ,Jay Roach,150,108,Blythe Danner,Robert De Niro,Comedy,NA,"$166,225,040.00 ",507,English,USA,PG-13,"$55,000,000.00 ",2000,7,260442,"$111,225,040.00"
PocahontasÂ ,Mike Gabriel,92,84,Frank Welker,Christian Bale,Adventure,Animation,"$141,600,000.00 ",216,English,USA,G,"$55,000,000.00 ",1995,6.6,119675,"$86,600,000.00"
SupermanÂ ,Richard Donner,169,188,Margot Kidder,Marlon Brando,Action,Adventure,"$134,218,018.00 ",497,English,USA,PG,"$55,000,000.00 ",1978,7.3,126357,"$79,218,018.00"
The Nutty ProfessorÂ ,Tom Shadyac,57,95,James Coburn,Jada Pinkett Smith,Comedy,Romance,"$128,769,345.00 ",99,English,USA,PG-13,"$54,000,000.00 ",1996,5.6,86556,"$74,769,345.00"
HitchÂ ,Andy Tennant,171,118,Michael Rapaport,Will Smith,Comedy,Romance,"$177,575,142.00 ",372,English,USA,PG-13,"$70,000,000.00 ",2005,6.6,244840,"$107,575,142.00"
George of the JungleÂ ,Sam Weisman,53,92,Abraham Benrubi,Brendan Fraser,Action,Adventure,"$105,263,257.00 ",103,English,USA,PG,"$55,000,000.00 ",1997,5.4,56168,"$50,263,257.00"
American WeddingÂ ,Jesse Dylan,153,74,Thomas Ian Nicholas,Alyson Hannigan,Comedy,Romance,"$104,354,205.00 ",332,English,USA,R,"$55,000,000.00 ",2003,6.3,162331,"$49,354,205.00"
Captain PhillipsÂ ,Paul Greengrass,491,134,Chris Mulkey,Tom Hanks,Biography,Drama,"$107,100,855.00 ",527,English,USA,PG-13,"$55,000,000.00 ",2013,7.9,323353,"$52,100,855.00"
Date NightÂ ,Shawn Levy,247,101,James Franco,Mila Kunis,Comedy,Crime,"$98,711,404.00 ",207,English,USA,PG-13,"$55,000,000.00 ",2010,6.3,127571,"$43,711,404.00"
CasperÂ ,Brad Silberling,26,100,Fred Rogers,Eric Idle,Comedy,Family,"$100,328,194.00 ",92,English,USA,PG,"$50,000,000.00 ",1995,6,85903,"$50,328,194.00"
The EqualizerÂ ,Antoine Fuqua,292,132,ChloÃ« Grace Moretz,Denzel Washington,Action,Crime,"$101,530,738.00 ",436,English,USA,R,"$55,000,000.00 ",2014,7.2,229574,"$46,530,738.00"
Maid in ManhattanÂ ,Wayne Wang,114,105,Frances Conroy,Bob Hoskins,Comedy,Drama,"$93,815,117.00 ",242,English,USA,PG-13,"$55,000,000.00 ",2002,5.1,68417,"$38,815,117.00"
Crimson TideÂ ,Tony Scott,82,123,Viggo Mortensen,Denzel Washington,Action,Drama,"$91,400,000.00 ",194,English,USA,R,"$53,000,000.00 ",1995,7.3,81026,"$38,400,000.00"
The Pursuit of HappynessÂ ,Gabriele Muccino,201,117,Kurt Fuller,Will Smith,Biography,Drama,"$162,586,036.00 ",611,English,USA,PG-13,"$55,000,000.00 ",2006,8,338383,"$107,586,036.00"
FlightplanÂ ,Robert Schwentke,231,98,Michael Irby,Erika Christensen,Drama,Mystery,"$89,706,988.00 ",600,English,USA,PG-13,"$55,000,000.00 ",2005,6.2,126746,"$34,706,988.00"
DisclosureÂ ,Barry Levinson,55,128,Dylan Baker,Demi Moore,Drama,Thriller,"$83,000,000.00 ",95,English,USA,R,"$55,000,000.00 ",1994,6,36587,"$28,000,000.00"
City of AngelsÂ ,Brad Silberling,110,114,Andre Braugher,Nicolas Cage,Drama,Fantasy,"$78,745,923.00 ",322,English,Germany,PG-13,"$55,000,000.00 ",1998,6.7,94407,"$23,745,923.00"
Kill Bill: Vol. 1Â ,Quentin Tarantino,354,111,Vivica A. Fox,David Carradine,Action,NA,"$70,098,138.00 ",2105,English,USA,R,"$30,000,000.00 ",2003,8.1,735784,"$40,098,138.00"
BowfingerÂ ,Frank Oz,140,85,Adam Alexi-Malle,Robert Downey Jr.,Comedy,NA,"$66,365,290.00 ",358,English,USA,PG-13,"$55,000,000.00 ",1999,6.4,56874,"$11,365,290.00"
Stargate SG-1Â             ,Unknown,77,44,Don S. Davis,Christopher Judge,Action,Adventure,"$25,517,500.00 ",181,English,USA,TV-14,"$1,400,000.00 ",2005,8.4,63982,"$24,117,500.00"
Kill Bill: Vol. 2Â ,Quentin Tarantino,304,137,Michael Parks,Vivica A. Fox,Action,Crime,"$66,207,920.00 ",935,English,USA,R,"$30,000,000.00 ",2004,8,512749,"$36,207,920.00"
Tango & CashÂ ,Andrey Konchalovskiy,45,97,Jack Palance,Sylvester Stallone,Action,Comedy,"$63,408,614.00 ",149,English,USA,R,"$55,000,000.00 ",1989,6.3,75365,"$8,408,614.00"
Death Becomes HerÂ ,Robert Zemeckis,49,104,Meryl Streep,Bruce Willis,Comedy,Fantasy,"$58,422,650.00 ",173,English,USA,PG-13,"$55,000,000.00 ",1992,6.4,78974,"$3,422,650.00"
Shanghai NoonÂ ,Tom Dey,146,110,Jason Connery,Xander Berkeley,Action,Adventure,"$56,932,305.00 ",293,English,USA,PG-13,"$55,000,000.00 ",2000,6.6,96690,"$1,932,305.00"
Executive DecisionÂ ,Stuart Baird,60,133,Joe Morton,Oliver Platt,Action,Adventure,"$68,750,000.00 ",144,English,USA,R,"$55,000,000.00 ",1996,6.4,40858,"$13,750,000.00"
Mr. Popper's PenguinsÂ ,Mark Waters,189,94,Ophelia Lovibond,Madeline Carroll,Comedy,Family,"$68,218,041.00 ",108,English,USA,PG,"$55,000,000.00 ",2011,6,67191,"$13,218,041.00"
The Forbidden KingdomÂ ,Rob Minkoff,206,104,Thomas McDonell,Jet Li,Action,Adventure,"$25,040,293.00 ",279,English,USA,PG-13,"$55,000,000.00 ",2008,6.6,88049,"-$29,959,707.00"
Free BirdsÂ ,Jimmy Hayward,118,91,Carlos Ponce,Amy Poehler,Adventure,Animation,"$55,747,724.00 ",73,English,USA,PG,"$55,000,000.00 ",2013,5.9,18042,"$747,724.00"
Alien 3Â ,David Fincher,210,145,Holt McCallany,Charles S. Dutton,Action,Horror,"$55,473,600.00 ",776,English,USA,R,"$50,000,000.00 ",1992,6.4,207686,"$5,473,600.00"
EvitaÂ ,Alan Parker,76,135,Jimmy Nail,Andrea Corr,Biography,Drama,"$49,994,804.00 ",194,English,USA,PG,"$55,000,000.00 ",1996,6.3,29205,"-$5,005,196.00"
RoninÂ ,John Frankenheimer,149,122,Natascha McElhone,Robert De Niro,Action,Adventure,"$41,609,593.00 ",572,English,UK,R,"$55,000,000.00 ",1998,7.3,145422,"-$13,390,407.00"
The Ghost and the DarknessÂ ,Stephen Hopkins,62,110,Bernard Hill,Tom Wilkinson,Adventure,Drama,"$38,553,833.00 ",155,English,USA,R,"$55,000,000.00 ",1996,6.8,46239,"-$16,446,167.00"
PaddingtonÂ ,Paul King,224,95,Matt Lucas,Julie Walters,Animation,Comedy,"$76,137,505.00 ",174,English,UK,PG,"$55,000,000.00 ",2014,7.2,49207,"$21,137,505.00"
The WatchÂ ,Akiva Schaffer,265,102,Nicholas Braun,Will Forte,Action,Comedy,"$34,350,553.00 ",207,English,USA,R,"$68,000,000.00 ",2012,5.7,104066,"-$33,649,447.00"
The HuntedÂ ,William Friedkin,135,94,Jenna Boyd,Connie Nielsen,Action,Crime,"$34,238,611.00 ",321,English,USA,R,"$55,000,000.00 ",2003,6,35830,"-$20,761,389.00"
InstinctÂ ,Jon Turteltaub,100,126,Maura Tierney,Anthony Hopkins,Drama,Thriller,"$34,098,563.00 ",232,English,USA,R,"$55,000,000.00 ",1999,6.5,27191,"-$20,901,437.00"
Stuck on YouÂ ,Bobby Farrelly,123,118,Terence Bernie Hines,Matt Damon,Comedy,NA,"$33,828,318.00 ",154,English,USA,PG-13,"$55,000,000.00 ",2003,5.8,44453,"-$21,171,682.00"
Semi-ProÂ ,Kent Alterman,164,99,Maura Tierney,Will Ferrell,Comedy,Sport,"$33,472,850.00 ",119,English,USA,R,"$55,000,000.00 ",2008,5.8,67005,"-$21,527,150.00"
The Pirates! Band of MisfitsÂ ,Peter Lord,238,88,Russell Tovey,Salma Hayek,Adventure,Animation,"$31,051,126.00 ",101,English,UK,PG,"$55,000,000.00 ",2012,6.7,36877,"-$23,948,874.00"
ChangelingÂ ,Clint Eastwood,264,141,Michael Kelly,Angelina Jolie Pitt,Crime,Drama,"$35,707,327.00 ",387,English,USA,R,"$55,000,000.00 ",2008,7.8,199056,"-$19,292,673.00"
Chain ReactionÂ ,Andrew Davis,47,107,Morgan Freeman,Keanu Reeves,Action,Drama,"$20,550,712.00 ",95,English,USA,PG-13,"$50,000,000.00 ",1996,5.6,40346,"-$29,449,288.00"
The FanÂ ,Tony Scott,50,116,Kurt Fuller,Robert De Niro,Action,Drama,"$18,573,791.00 ",89,English,USA,R,"$55,000,000.00 ",1996,5.8,38533,"-$36,426,209.00"
The Phantom of the OperaÂ ,Joel Schumacher,153,143,Minnie Driver,Gerard Butler,Drama,Musical,"$51,225,796.00 ",2047,English,UK,PG-13,"$70,000,000.00 ",2004,7.4,96654,"-$18,774,204.00"
